DATE,A,B,C,FFR,LF
2006-02-28,-0.0032747794246077433,0.0008700516365145461,-0.0018378701405268316,4.491428571428572,-3.9598671802240673
2006-03-31,0.005801770767975611,0.00643965073675723,0.004494213727802787,4.589354838709677,-3.910511032858149
2006-04-30,-0.0006701657836067909,-0.0011115915428554501,0.0020613393236059707,4.790333333333334,-3.9112094043308225
2006-05-31,0.005185769967196663,0.004192878260036892,0.004747842040853989,4.940322580645161,-3.850744778124536
2006-06-30,0.004248538154897119,-0.00024615384739767876,-1.0764174222188672e-05,4.991,-3.8533364808588417
2006-07-31,0.0009876474004038016,-0.0011084427515832829,0.0020387181001018106,5.235161290322581,-3.9253125926735204
2006-08-31,-0.0029121066619648417,-0.0022205782625768222,-0.0029161675464841608,5.2464516129032255,-3.9230690428963575
2006-09-30,-7.697672597117844e-07,0.000864144242404663,0.0010939696218414952,5.254666666666666,-3.783267572266063
2006-10-31,0.0061510266210991205,-0.0007406493364126021,-0.00041545793661157404,5.245161290322581,-3.6847346067149775
2006-11-30,0.010166877534031116,0.008606963252395516,0.008030174564414239,5.245666666666667,-3.7943309231220854
2006-12-31,0.005175834785223543,0.012047605408174178,0.010912495347243478,5.2380645161290325,-3.694669575296614
2007-01-31,-0.0017379780024633362,-0.004485671581560879,-0.0005904804893557269,5.248387096774193,-3.8654393258493096
2007-02-28,0.006903650918909321,-0.003651860418770525,-0.00431697441319745,5.258928571428571,-3.7973810667638688
2007-03-31,0.0013202961189975326,0.001096959095921335,0.0012117611167914433,5.256774193548387,-3.70773676536539
2007-04-30,-0.0013546015302754455,0.00255490132284919,0.0015075314352648306,5.249666666666667,-3.8065907381313386
2007-05-31,0.009326979928093948,0.0032753107463125986,0.0024039359845930974,5.2535483870967745,-3.714563399567778
2007-06-30,-0.009295845555890025,0.0018149923307824167,0.0019485009570860967,5.2540000000000004,-3.886899611660976
2007-07-31,0.004009089174001446,0.0020530168433161577,0.004391884300940063,5.258387096774193,-3.9442954062854194
2007-08-31,-0.0039671746149494425,0.0008441363178377514,-0.0035876624721931094,5.022258064516129,-3.8918468709596716
2007-09-30,0.01319225899290899,-0.0026554028880081404,0.00020565023316176934,4.938,-3.942260102380736
2007-10-31,-0.000950523608066689,0.0019319011079854675,0.0021647358304823783,4.755483870967741,-3.944154719460904
2007-11-30,0.009619274167567582,0.006372894772733062,0.007589863638603589,4.486666666666666,-3.9479758462440957
2007-12-31,-0.0007185917942020836,0.003469940663816118,0.0005322680781292277,4.244516129032259,-4.000572154407754
2008-01-31,0.010129326648399939,-0.007914659375192201,-0.003574798788058331,3.9403225806451614,-4.00123954207082
2008-02-29,-0.014756800973625417,-0.001325221566153445,-0.0036004548282999593,2.9806896551724136,-3.996118185132007
2008-03-31,0.00947717644159951,0.004210532536342626,0.002716617445546632,2.6103225806451613,-4.032688676999231
2008-04-30,-0.004036239500118555,-0.0033670065479043387,-0.0033209042151938206,2.2783333333333333,-4.008485500455999
2008-05-31,0.007277820684427283,0.0054057432377536685,0.004595738138605476,1.9783870967741934,-4.249276073891538
2008-06-30,0.002690149535764519,0.006567579878590024,0.006267266450655562,2.001,-4.493576384974544
2008-07-31,0.011770968450464991,0.008060735916773254,0.008615148372908443,2.009677419354839,-4.823697280932997
2008-08-31,0.0002652537254057563,0.0007081317420887245,0.000683063797023209,1.996451612903226,-5.468440677048714
2008-09-30,0.1078874071231617,0.07070604843387329,0.004120270948671845,1.8116666666666668,-5.474793600407471
2008-10-31,0.5373122099843659,0.22250577515201542,0.018038654856066927,0.9693548387096774,-6.624842201323338
2008-11-30,0.2164341857102876,0.23837369060943203,0.017455881944702156,0.3876666666666667,-7.690083634779015
2008-12-31,0.03556370054003288,0.14442654935729848,0.015854791055263995,0.15516129032258064,-9.871020358918589
2009-01-31,-0.0888154655143385,0.026996666754925513,0.009410820993341673,0.15419354838709678,-12.555319041808676
2009-02-28,-0.07778640854387753,-0.09188730620788732,0.00895509342115286,0.22214285714285714,-15.739523784485158
2009-03-31,0.05339677646082741,0.05336261245913576,0.00735027258930554,0.18064516129032257,-18.656719541775775
2009-04-30,0.06753418872299477,0.06230510559171698,0.002948293521200185,0.15033333333333332,-21.05463719432194
2009-05-31,0.005146970822165642,0.012414069806105488,0.00232502692875336,0.1774193548387097,-24.543231211340256
2009-06-30,-0.03695601242652202,-0.052863006687005054,0.0022737432822657055,0.20633333333333334,-25.47626971502958
2009-07-31,-0.01713622714717289,-0.006016757793149807,0.0021834925925467985,0.15580645161290324,-25.49641385867178
2009-08-31,0.006328884426498149,0.02198410248214877,0.0013345356185876511,0.16032258064516128,-26.4505658903304
2009-09-30,0.04201050444547327,0.05149201207466447,0.0024073022105861597,0.14666666666666667,-28.405103152226175
2009-10-31,0.023821884090471812,0.07232582608193461,0.0025678160826254626,0.11806451612903227,-30.4346524582645
2009-11-30,0.0024876064823011745,0.04459321465529875,0.0031902476843566063,0.119,-29.44867623411247
2009-12-31,0.01838268040836688,0.0007899674549260993,0.006592278341244651,0.11806451612903227,-29.470262404208448
2010-01-31,0.01662637766256303,-0.01551806729561278,-0.0033378164889406037,0.11,-28.48942565819002
2010-02-28,0.004863456888818618,0.05850532033340272,0.006464917730007791,0.12642857142857142,-28.514214541971654
2010-03-31,0.013474268643268061,-0.016973803147806166,0.005727091293925568,0.16451612903225807,-29.534913969403522
2010-04-30,0.013207075752903918,-0.03185418321947786,0.0026973828368737074,0.19833333333333333,-29.561745389522944
